@cycle_counter=59 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Byte 	burst_length=16 	HWRITE=1 	HADDR=00000011 	HREADY=0 	HWDATA=0000000000000000 	data_phase=0
@cycle_counter=60 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Byte 	burst_length=16 	HWRITE=1 	HADDR=00000011 	HREADY=0 	HWDATA=0000000000000000 	data_phase=0
@cycle_counter=61 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Byte 	burst_length=16 	HWRITE=1 	HADDR=00000011 	HREADY=1 	HWDATA=0000000000000000 	data_phase=0
@cycle_counter=62 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Byte 	burst_length=16 	HWRITE=1 	HADDR=00000012 	HREADY=0 	HWDATA=xxxxxxxxxxxx39xx 	data_phase=1
@cycle_counter=63 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Byte 	burst_length=16 	HWRITE=1 	HADDR=00000012 	HREADY=0 	HWDATA=0000000000000000 	data_phase=0
@cycle_counter=64 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Byte 	burst_length=16 	HWRITE=1 	HADDR=00000012 	HREADY=0 	HWDATA=0000000000000000 	data_phase=0
@cycle_counter=65 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Byte 	burst_length=16 	HWRITE=1 	HADDR=00000012 	HREADY=1 	HWDATA=0000000000000000 	data_phase=0
@cycle_counter=66 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Byte 	burst_length=16 	HWRITE=1 	HADDR=00000013 	HREADY=0 	HWDATA=xxxxxxxxxx42xxxx 	data_phase=1
@cycle_counter=67 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Byte 	burst_length=16 	HWRITE=1 	HADDR=00000013 	HREADY=0 	HWDATA=0000000000000000 	data_phase=0
@cycle_counter=68 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Byte 	burst_length=16 	HWRITE=1 	HADDR=00000013 	HREADY=0 	HWDATA=0000000000000000 	data_phase=0
@cycle_counter=69 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Byte 	burst_length=16 	HWRITE=1 	HADDR=00000013 	HREADY=1 	HWDATA=0000000000000000 	data_phase=0
